97 971 3.235858e-02 5.591151e+00  5.124709600341469107e-02  5.272366771258363283e-02  5.532354084433690339e-02  6.289502520217100934e-02
98 981 2.857410e-02 5.618597e+00  5.124709600341469107e-02  5.153084682369330621e-02  5.466617287991385604e-02  6.004633971891311373e-02
99 991 2.748067e-02 5.771346e+00  5.124709600341469107e-02  5.179951761978328351e-02  5.546759515783619698e-02  6.220028065204083467e-02
100 1001 2.559980e-02 5.803748e+00  5.124709600341469107e-02  5.252788148170538240e-02  5.425376698322606495e-02  5.910244641163795581e-02
101 1011 2.612020e-02 5.881541e+00  5.120282483459184103e-02  5.120282483459184103e-02  5.267086186762632433e-02  5.588681667312481172e-02
102 1021 2.606441e-02 5.906711e+00  5.052758144110460620e-02  5.052758144110460620e-02  5.252319946184624833e-02  5.582435794449302352e-02
103 1031 2.608917e-02 5.962322e+00  5.052758144110460620e-02  5.095800413370035753e-02  5.253527758414170551e-02  6.148899904688517881e-02
104 1041 2.805715e-02 5.946110e+00  5.052758144110460620e-02  5.119164519665690000e-02  5.256080162220314045e-02  5.547912142702746824e-02
105 1051 3.001592e-02 5.947717e+00  5.052758144110460620e-02  5.083102169436742868e-02  5.169015182745720360e-02  5.985308287446478026e-02
106 1061 2.764727e-02 5.908688e+00  5.052758144110460620e-02  5.170180106009754362e-02  5.310993903349601336e-02  6.139998974380175834e-02
107 1071 2.688197e-02 5.911449e+00  5.052758144110460620e-02  5.093376328633507366e-02  5.267968184547981714e-02  5.494458858467115431e-02
108 1081 2.647734e-02 5.907415e+00  5.018740612436531356e-02  5.018740612436531356e-02  5.253800046315397487e-02  5.847351318261158337e-02
109 1091 2.600718e-02 5.910454e+00  5.015416992949273123e-02  5.015416992949273123e-02  5.250318246900226304e-02  5.714872224000851209e-02
110 1101 2.360747e-02 5.997450e+00  5.015416992949273123e-02  5.073663856558385810e-02  5.162964626879090746e-02  5.828792909980557574e-02
111 1111 2.049651e-02 6.029349e+00  5.015416992949273123e-02  5.078669380300040309e-02  5.200607362523883975e-02  5.607563498235852012e-02
112 1121 1.821726e-02 6.011038e+00  5.015416992949273123e-02  5.085274831661140693e-02  5.225891378542270316e-02  5.874424586398773601e-02
113 1131 1.691358e-02 6.027283e+00  5.015416992949273123e-02  5.058195353094534219e-02  5.163068088377146397e-02  5.210813491663265906e-02
114 1141 1.684279e-02 5.896999e+00  5.015416992949273123e-02  5.066418538898698198e-02  5.138245472260233315e-02  5.576516783491280299e-02
115 1151 1.490526e-02 5.884676e+00  5.015416992949273123e-02  5.046467411910014744e-02  5.121764245485187217e-02  5.454159389374491074e-02
116 1161 1.497716e-02 5.968418e+00  5.015416992949273123e-02  5.029556407507456556e-02  5.080053771949289559e-02  5.168392848147593949e-02
117 1171 1.406258e-02 5.977915e+00  5.015416992949273123e-02  5.020465616674765763e-02  5.080896537475946412e-02  5.220844198869818015e-02
118 1181 1.362598e-02 5.979827e+00  5.003548040887925707e-02  5.003548040887925707e-02  5.077714596763324706e-02  5.695764185397048096e-02
